arquivo,veredito,motivos,nitidez,brilho,contraste,largura,altura,duplicata_de,caminho
CAM1_RGB_2024-08-22_11-54-00_jpg.rf.26091ddcd2c0c6f2da8391d1e7ff3adf.jpg,aproveitavel,-,823.51,101.55,58.58,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM1_RGB_2024-08-22_11-54-00_jpg.rf.26091ddcd2c0c6f2da8391d1e7ff3adf.jpg
CAM1_RGB_2024-08-22_12-24-00_jpg.rf.f0e4dfb1abcfe5f5c4524b70a9fea2b8.jpg,aproveitavel,-,868.44,104.49,57.09,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM1_RGB_2024-08-22_12-24-00_jpg.rf.f0e4dfb1abcfe5f5c4524b70a9fea2b8.jpg
CAM1_RGB_2024-08-22_19-24-00_jpg.rf.cdc3a65a675b02c61c37f0fa804d6888.jpg,aproveitavel,-,793.39,89.19,67.68,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM1_RGB_2024-08-22_19-24-00_jpg.rf.cdc3a65a675b02c61c37f0fa804d6888.jpg
CAM1_RGB_2024-08-22_19-54-00_jpg.rf.29914d796ddc2ebe527fb57c94e4cfde.jpg,aproveitavel,-,864.09,96.45,55.69,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM1_RGB_2024-08-22_19-54-00_jpg.rf.29914d796ddc2ebe527fb57c94e4cfde.jpg
CAM1_RGB_2024-08-23_01-53-56_jpg.rf.c7ea33ab974a63367d80e2c004d23a34.jpg,aproveitavel,-,1125.95,90.14,72.03,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM1_RGB_2024-08-23_01-53-56_jpg.rf.c7ea33ab974a63367d80e2c004d23a34.jpg
CAM1_RGB_2024-08-23_05-53-41_jpg.rf.36b8a305c6e652a73d9090c4d4b74df4.jpg,aproveitavel,-,986.61,87.54,69.17,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM1_RGB_2024-08-23_05-53-41_jpg.rf.36b8a305c6e652a73d9090c4d4b74df4.jpg
CAM1_RGB_2024-08-23_10-53-52_jpg.rf.b86abdd2d72fbec7ba48d07660026a88.jpg,aproveitavel,-,556.39,95.13,50.9,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM1_RGB_2024-08-23_10-53-52_jpg.rf.b86abdd2d72fbec7ba48d07660026a88.jpg
CAM1_RGB_2024-08-23_14-24-00_jpg.rf.0110ecd8ea1ac7d03bd3fd1ea0165dfb.jpg,aproveitavel,-,564.45,92.44,61.9,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM1_RGB_2024-08-23_14-24-00_jpg.rf.0110ecd8ea1ac7d03bd3fd1ea0165dfb.jpg
CAM1_RGB_2024-08-23_15-24-44_jpg.rf.f49222c80c44b3c4a86c855e0abbdedf.jpg,aproveitavel,-,521.97,91.14,57.33,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM1_RGB_2024-08-23_15-24-44_jpg.rf.f49222c80c44b3c4a86c855e0abbdedf.jpg
CAM1_RGB_2024-08-24_03-55-52_jpg.rf.6a04bb923d23b48a960646fb5f2eb284.jpg,duvidosa,nitidez_limitrofe,103.45,35.34,26.95,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM1_RGB_2024-08-24_03-55-52_jpg.rf.6a04bb923d23b48a960646fb5f2eb284.jpg
CAM1_RGB_2024-08-24_05-26-40_jpg.rf.c46a2e073ab0b96e39537dc0368245f6.jpg,descartar,borrada;subexposta,61.24,29.62,23.83,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM1_RGB_2024-08-24_05-26-40_jpg.rf.c46a2e073ab0b96e39537dc0368245f6.jpg
CAM1_RGB_2024-08-24_10-31-56_jpg.rf.98814489f7c926d734a3ba3fb792fa67.jpg,aproveitavel,-,621.29,97.84,57.21,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM1_RGB_2024-08-24_10-31-56_jpg.rf.98814489f7c926d734a3ba3fb792fa67.jpg
CAM2_RGB_2024-08-15_09-42-00_jpg.rf.a81fdba7c09ac813cb777214dec85269.jpg,aproveitavel,-,841.72,107.42,56.88,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM2_RGB_2024-08-15_09-42-00_jpg.rf.a81fdba7c09ac813cb777214dec85269.jpg
CAM2_RGB_2024-08-16_11-55-00_jpg.rf.5c4192c43b0735b534b9aa89911eaa1d.jpg,aproveitavel,-,613.55,102.07,60.6,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM2_RGB_2024-08-16_11-55-00_jpg.rf.5c4192c43b0735b534b9aa89911eaa1d.jpg
CAM2_RGB_2024-08-16_13-25-00_jpg.rf.967bed199461315a1276880203f72752.jpg,aproveitavel,-,791.85,112.05,53.3,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM2_RGB_2024-08-16_13-25-00_jpg.rf.967bed199461315a1276880203f72752.jpg
